{'loss': 0.6653, 'grad_norm': 0.08349609375, 'learning_rate': 5.998835841373836e-05, 'epoch': 0.04448365279225813}
{'loss': 0.6478, 'grad_norm': 0.08544921875, 'learning_rate': 5.998414031878348e-05, 'epoch': 0.051897594924301155}
{'loss': 0.6453, 'grad_norm': 0.0771484375, 'learning_rate': 5.997927160636359e-05, 'epoch': 0.05931153705634418}
{'loss': 0.6385, 'grad_norm': 0.07763671875, 'learning_rate': 5.9973752382123505e-05, 'epoch': 0.0667254791883872}
{'loss': 0.6303, 'grad_norm': 0.0732421875, 'learning_rate': 5.996758276582333e-05, 'epoch': 0.07413942132043022}
{'loss': 0.6369, 'grad_norm': 0.0654296875, 'learning_rate': 5.996076289133584e-05, 'epoch': 0.08155336345247324}
{'loss': 0.644, 'grad_norm': 0.07421875, 'learning_rate': 5.995329290664359e-05, 'epoch': 0.08896730558451627}
{'loss': 0.6347, 'grad_norm': 0.072265625, 'learning_rate': 5.994517297383567e-05, 'epoch': 0.09638124771655929}
{'loss': 0.6398, 'grad_norm': 0.07421875, 'learning_rate': 5.993640326910424e-05, 'epoch': 0.10379518984860231}
{'loss': 0.6203, 'grad_norm': 0.0673828125, 'learning_rate': 5.992698398274066e-05, 'epoch': 0.11120913198064533}
{'loss': 0.6405, 'grad_norm': 0.07763671875, 'learning_rate': 5.9916915319131396e-05, 'epoch': 0.11862307411268835}
{'loss': 0.6344, 'grad_norm': 0.068359375, 'learning_rate': 5.990619749675355e-05, 'epoch': 0.12603701624473138}
{'loss': 0.627, 'grad_norm': 0.064453125, 'learning_rate': 5.989483074817016e-05, 'epoch': 0.1334509583767744}
{'loss': 0.6348, 'grad_norm': 0.06591796875, 'learning_rate': 5.988281532002511e-05, 'epoch': 0.14086490050881742}
{'loss': 0.6263, 'grad_norm': 0.06298828125, 'learning_rate': 5.987015147303782e-05, 'epoch': 0.14827884264086044}
{'loss': 0.6401, 'grad_norm': 0.0888671875, 'learning_rate': 5.985683948199756e-05, 'epoch': 0.15569278477290346}
{'loss': 0.6203, 'grad_norm': 0.0654296875, 'learning_rate': 5.984287963575749e-05, 'epoch': 0.1631067269049465}
{'loss': 0.6181, 'grad_norm': 0.06591796875, 'learning_rate': 5.982827223722841e-05, 'epoch': 0.1705206690369895}
{'loss': 0.6223, 'grad_norm': 0.072265625, 'learning_rate': 5.981301760337216e-05, 'epoch': 0.17793461116903253}
{'loss': 0.6182, 'grad_norm': 0.06640625, 'learning_rate': 5.979711606519478e-05, 'epoch': 0.18534855330107555}
{'loss': 0.6205, 'grad_norm': 0.0693359375, 'learning_rate': 5.9780567967739294e-05, 'epoch': 0.19276249543311857}
{'loss': 0.6284, 'grad_norm': 0.07421875, 'learning_rate': 5.976337367007823e-05, 'epoch': 0.2001764375651616}
{'loss': 0.6242, 'grad_norm': 0.0654296875, 'learning_rate': 5.974553354530584e-05, 'epoch': 0.20759037969720462}
